side,entry_time,exit_time,entry,exit,stop,target,bars_held,reason,gross_pnl,net_pnl,ret_on_capital_pct
SHORT,2026-04-07 19:22:00+00:00,2026-04-07 19:23:00+00:00,24230.25,24216.375,24276.757142857143,24216.375,2,target_25pct,27.75,25.35,0.2535
SHORT,2026-04-07 19:50:00+00:00,2026-04-07 19:51:00+00:00,24285.75,24329.448214285716,24329.448214285716,24283.875,2,stop,-87.3964285714319,-89.7964285714319,-0.8979642857143191
SHORT,2026-04-07 20:05:00+00:00,2026-04-07 20:15:00+00:00,24381.5,24407.601785714287,24407.601785714287,24346.25,11,stop,-52.20357142857392,-54.60357142857392,-0.5460357142857393
SHORT,2026-04-07 22:11:00+00:00,2026-04-07 22:32:00+00:00,24608.0,24637.217857142856,24637.217857142856,24557.5625,22,same_bar_stop_first,-58.43571428571158,-60.83571428571158,-0.6083571428571158
SHORT,2026-04-07 22:42:00+00:00,2026-04-07 22:53:00+00:00,24804.0,24861.574107142857,24861.574107142857,24709.5,12,stop,-115.14821428571304,-117.54821428571304,-1.1754821428571305
SHORT,2026-04-07 23:27:00+00:00,2026-04-07 23:39:00+00:00,25056.25,25021.75,25090.35982142857,25021.75,13,target_25pct,69.0,66.6,0.6659999999999999
SHORT,2026-04-07 23:51:00+00:00,2026-04-07 23:56:00+00:00,25040.0,25029.625,25055.058928571427,25029.625,6,target_25pct,20.75,18.35,0.1835
SHORT,2026-04-08 00:56:00+00:00,2026-04-08 01:01:00+00:00,25085.5,25072.9375,25101.45267857143,25072.9375,6,target_25pct,25.125,22.725,0.22725
LONG,2026-04-08 01:23:00+00:00,2026-04-08 01:24:00+00:00,25065.75,25071.3125,25051.324107142857,25071.3125,2,target_25pct,11.125,8.725,0.08725
SHORT,2026-04-08 01:40:00+00:00,2026-04-08 01:40:00+00:00,25089.0,25081.625,25097.1875,25081.625,1,target_25pct,14.75,12.35,0.1235
SHORT,2026-04-08 01:49:00+00:00,2026-04-08 01:50:00+00:00,25094.75,25104.98660714286,25104.98660714286,25087.625,2,stop,-20.473214285717404,-22.873214285717403,-0.22873214285717403
SHORT,2026-04-08 02:03:00+00:00,2026-04-08 02:03:00+00:00,25099.75,25098.3125,25113.035714285714,25098.3125,1,target_25pct,2.875,0.4750000000000001,0.004750000000000001
SHORT,2026-04-08 03:03:00+00:00,2026-04-08 03:03:00+00:00,25112.5,25110.8125,25118.717857142856,25110.8125,1,target_25pct,3.375,0.9750000000000001,0.009750000000000002
LONG,2026-04-08 03:30:00+00:00,2026-04-08 03:31:00+00:00,25093.25,25098.25,25088.275892857142,25098.25,2,target_25pct,10.0,7.6,0.076
SHORT,2026-04-08 04:19:00+00:00,2026-04-08 04:20:00+00:00,25138.0,25145.775892857142,25145.775892857142,25128.6875,2,stop,-15.551785714284051,-17.95178571428405,-0.1795178571428405
SHORT,2026-04-08 04:39:00+00:00,2026-04-08 04:44:00+00:00,25148.0,25139.6875,25154.475892857143,25139.6875,6,target_25pct,16.625,14.225,0.14225
SHORT,2026-04-08 05:35:00+00:00,2026-04-08 05:35:00+00:00,25161.5,25158.5,25175.59107142857,25158.5,1,target_25pct,6.0,3.6,0.036000000000000004
LONG,2026-04-08 06:29:00+00:00,2026-04-08 06:29:00+00:00,25174.25,25175.25,25161.974107142858,25175.25,1,target_25pct,2.0,-0.3999999999999999,-0.003999999999999999
LONG,2026-04-08 07:51:00+00:00,2026-04-08 07:52:00+00:00,25145.5,25151.0,25134.183035714286,25151.0,2,target_25pct,11.0,8.6,0.086
SHORT,2026-04-08 08:53:00+00:00,2026-04-08 08:56:00+00:00,25185.5,25196.555357142857,25196.555357142857,25180.5,4,stop,-22.110714285714494,-24.510714285714492,-0.2451071428571449
SHORT,2026-04-08 09:03:00+00:00,2026-04-08 09:03:00+00:00,25216.75,25209.75,25235.26607142857,25209.75,1,target_25pct,14.0,11.6,0.116
SHORT,2026-04-08 09:15:00+00:00,2026-04-08 09:26:00+00:00,25237.25,25217.875,25244.621428571427,25217.875,12,target_25pct,38.75,36.35,0.36350000000000005
LONG,2026-04-08 09:47:00+00:00,2026-04-08 09:47:00+00:00,25197.5,25199.8125,25182.272321428572,25199.8125,1,target_25pct,4.625,2.225,0.022250000000000002
LONG,2026-04-08 10:18:00+00:00,2026-04-08 10:21:00+00:00,25195.25,25198.0625,25186.907142857144,25198.0625,4,target_25pct,5.625,3.225,0.03225
SHORT,2026-04-08 10:39:00+00:00,2026-04-08 10:39:00+00:00,25226.0,25218.25,25232.094642857144,25218.25,1,target_25pct,15.5,13.1,0.131
LONG,2026-04-08 11:08:00+00:00,2026-04-08 11:09:00+00:00,25189.0,25196.1875,25180.842857142856,25196.1875,2,target_25pct,14.375,11.975,0.11975
SHORT,2026-04-08 11:31:00+00:00,2026-04-08 11:31:00+00:00,25219.0,25216.6875,25233.869642857142,25216.6875,1,target_25pct,4.625,2.225,0.022250000000000002
SHORT,2026-04-08 12:09:00+00:00,2026-04-08 12:09:00+00:00,25239.75,25236.3125,25251.71607142857,25236.3125,1,target_25pct,6.875,4.475,0.04475
LONG,2026-04-08 12:27:00+00:00,2026-04-08 12:28:00+00:00,25181.75,25193.6875,25164.23125,25193.6875,2,target_25pct,23.875,21.475,0.21475
LONG,2026-04-08 13:35:00+00:00,2026-04-08 13:36:00+00:00,25162.5,25175.0625,25139.21607142857,25175.0625,2,target_25pct,25.125,22.725,0.22725
LONG,2026-04-08 14:49:00+00:00,2026-04-08 14:49:00+00:00,25028.5,25032.75,25004.10357142857,25032.75,1,target_25pct,8.5,6.1,0.061
LONG,2026-04-08 14:55:00+00:00,2026-04-08 14:55:00+00:00,25006.0,24984.071428571428,24984.071428571428,25015.375,1,stop,-43.857142857144936,-46.257142857144935,-0.46257142857144934
LONG,2026-04-08 14:59:00+00:00,2026-04-08 15:00:00+00:00,24987.25,24999.25,24962.303571428572,24999.25,2,target_25pct,24.0,21.6,0.216
LONG,2026-04-08 15:12:00+00:00,2026-04-08 15:12:00+00:00,25000.5,25002.75,24975.2875,25002.75,1,target_25pct,4.5,2.1,0.021
SHORT,2026-04-08 15:41:00+00:00,2026-04-08 15:41:00+00:00,25043.75,25036.3125,25062.185714285715,25036.3125,1,target_25pct,14.875,12.475,0.12474999999999999
SHORT,2026-04-08 15:55:00+00:00,2026-04-08 16:00:00+00:00,25079.5,25090.532142857144,25090.532142857144,25065.6875,6,stop,-22.064285714288417,-24.464285714288415,-0.24464285714288414
SHORT,2026-04-08 16:05:00+00:00,2026-04-08 16:06:00+00:00,25101.25,25092.8125,25119.741071428572,25092.8125,2,target_25pct,16.875,14.475,0.14475
SHORT,2026-04-08 16:44:00+00:00,2026-04-08 16:45:00+00:00,25126.0,25135.90357142857,25135.90357142857,25113.875,2,stop,-19.807142857142026,-22.207142857142024,-0.22207142857142023
SHORT,2026-04-08 16:59:00+00:00,2026-04-08 17:04:00+00:00,25147.5,25137.125,25158.366964285713,25137.125,6,target_25pct,20.75,18.35,0.1835
LONG,2026-04-08 17:11:00+00:00,2026-04-08 17:11:00+00:00,25128.25,25131.8125,25119.425,25131.8125,1,target_25pct,7.125,4.725,0.04724999999999999
LONG,2026-04-08 19:02:00+00:00,2026-04-08 19:02:00+00:00,24965.25,24975.625,24936.628571428573,24975.625,1,target_25pct,20.75,18.35,0.1835
LONG,2026-04-08 19:08:00+00:00,2026-04-08 19:10:00+00:00,24975.0,24988.1875,24956.676785714284,24988.1875,3,target_25pct,26.375,23.975,0.23975000000000002
SHORT,2026-04-08 19:56:00+00:00,2026-04-08 19:59:00+00:00,25037.5,25053.308928571427,25053.308928571427,25024.25,4,stop,-31.61785714285361,-34.01785714285361,-0.3401785714285361
SHORT,2026-04-08 20:04:00+00:00,2026-04-08 20:05:00+00:00,25078.25,25060.875,25094.088392857142,25060.875,2,target_25pct,34.75,32.35,0.3235
LONG,2026-04-08 20:40:00+00:00,2026-04-08 20:41:00+00:00,25043.0,25037.35357142857,25037.35357142857,25048.4375,2,stop,-11.29285714285652,-13.69285714285652,-0.13692857142856518
LONG,2026-04-08 20:48:00+00:00,2026-04-08 20:50:00+00:00,25042.5,25045.6875,25035.805357142857,25045.6875,3,target_25pct,6.375,3.975,0.03975
LONG,2026-04-08 22:23:00+00:00,2026-04-08 22:24:00+00:00,25030.5,25021.805357142857,25021.805357142857,25036.0625,2,stop,-17.389285714285506,-19.789285714285505,-0.19789285714285504
LONG,2026-04-09 00:09:00+00:00,2026-04-09 00:13:00+00:00,25011.5,25013.75,25001.602678571428,25013.75,5,target_25pct,4.5,2.1,0.021
LONG,2026-04-09 01:10:00+00:00,2026-04-09 01:10:00+00:00,25002.75,25005.6875,24994.4875,25005.6875,1,target_25pct,5.875,3.475,0.034749999999999996
LONG,2026-04-09 01:15:00+00:00,2026-04-09 01:15:00+00:00,25001.0,25002.8125,24990.74732142857,25002.8125,1,target_25pct,3.625,1.225,0.01225
LONG,2026-04-09 03:24:00+00:00,2026-04-09 03:30:00+00:00,25020.75,25026.0,25017.32857142857,25026.0,7,target_25pct,10.5,8.1,0.08099999999999999
LONG,2026-04-09 05:13:00+00:00,2026-04-09 05:13:00+00:00,25005.75,25007.4375,24999.411607142858,25007.4375,1,target_25pct,3.375,0.9750000000000001,0.009750000000000002
