time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,PriceUSD,SplyCur,TxCnt
2022-01-24 00:00:00+00:00,btc,967257,1.526343091945,694295100608.7682,198665989.06991372,36659.7252206312,18938906.29103886,271583
2022-01-25 00:00:00+00:00,btc,892344,1.538880544803,699876683066.1487,201314869.1276132,36952.586773232,18939856.29101156,266941
2022-01-26 00:00:00+00:00,btc,872302,1.534660000135,697505746691.7056,172177190.40011233,36825.8245993571,18940668.79099518,258696
2022-01-27 00:00:00+00:00,btc,894323,1.543763850705,701250560952.0532,173501629.47536534,37021.9371332554,18941487.54096788,252850
2022-01-28 00:00:00+00:00,btc,953545,1.576577931046,715434506562.4597,203963747.2781192,37768.8474836353,18942450.04093512,266473
2022-01-29 00:00:00+00:00,btc,800040,1.592485103381,721521023451.4706,197341548.08746725,38088.2912279953,18943381.29091874,227066
2022-01-30 00:00:00+00:00,btc,780477,1.589486377439,719570704158.3319,193368228.95451477,37983.5063845704,18944293.79091328,208908
2022-01-31 00:00:00+00:00,btc,993797,1.609690053329,728682541998.969,189394909.8215623,38462.6724029807,18945187.54090782,262993
2022-02-01 00:00:00+00:00,btc,1058396,1.61452774476,734882587285.7963,203963747.2781192,38787.9640824079,18946150.04088598,274556
2022-02-02 00:00:00+00:00,btc,954043,1.539179072383,699950267339.7744,202639308.20286623,36942.3307493279,18947106.29086414,275434
2022-02-03 00:00:00+00:00,btc,931571,1.544771260316,702169321610.3784,194692668.02976775,37057.6521879018,18948025.04082046,267726
2022-02-04 00:00:00+00:00,btc,885216,1.709053357873,778416466655.57,172457231.3989618,41079.9060881356,18948837.54080408,249753
2022-02-05 00:00:00+00:00,btc,951087,1.726159971835,786570243049.2509,157888392.03489855,41508.5816925774,18949581.29079862,253867
2022-02-06 00:00:00+00:00,btc,891700,1.760874145144,802711930524.7648,206979739.90370575,42358.2251732905,18950556.29079862,221803
2022-02-07 00:00:00+00:00,btc,927917,1.821609827046,831757893938.8804,180443875.51955137,43888.980119813,18951406.2907877,262908
2022-02-08 00:00:00+00:00,btc,1014770,1.831529736531,837077702292.8624,204326153.27423212,44167.4447945646,18952368.79077678,277455
2022-02-09 00:00:00+00:00,btc,998247,1.840095004198,841620177986.7826,185751048.77849868,44405.0732042665,18953243.79075494,263940
2022-02-10 00:00:00+00:00,btc,1029721,1.806667830508,826673340569.5298,195038601.0263654,43614.3426960842,18954162.54074948,261192
2022-02-11 00:00:00+00:00,btc,987669,1.754236923972,802885153204.8153,188404635.40797237,42357.3217416715,18955050.0407331,258085
2022-02-12 00:00:00+00:00,btc,1060262,1.745950590083,799449167809.6086,248110329.79467425,42173.4593962595,18956215.09959684,224735
2022-02-13 00:00:00+00:00,btc,829229,1.746704565079,799910438394.8269,209633326.53317943,42195.5947451782,18957202.59959684,212378
2022-02-14 00:00:00+00:00,btc,899786,1.765131690456,808492710849.5155,202999360.9147864,42646.1618590883,18958158.84958046,249689
2022-02-15 00:00:00+00:00,btc,1013694,1.839746953131,843912516712.541,232188811.9284145,44511.9084880187,18959252.59955316,272685
2022-02-16 00:00:00+00:00,btc,925324,1.820760197081,835495877044.4435,206979739.90370575,44065.7092673875,18960227.59953132,267496
2022-02-17 00:00:00+00:00,btc,931220,1.680750155719,770015151406.7638,213573837.40352312,40610.024261543,18961208.84950948,256201
2022-02-18 00:00:00+00:00,btc,940726,1.658393382535,759320197985.6616,186294129.77324113,40044.2204856809,18962042.18177205,258376
2022-02-19 00:00:00+00:00,btc,839236,1.660632849962,760337246150.2621,207147948.8360009,40095.887329398,18962973.43176113,218004
2022-02-20 00:00:00+00:00,btc,741534,1.597672365828,731088089618.0752,200196675.81508097,38551.6224967855,18963873.43176113,202691
2022-02-21 00:00:00+00:00,btc,886316,1.53935959409,703550978541.0667,171001327.92603725,37098.0360081824,18964642.18175567,238620
2022-02-22 00:00:00+00:00,btc,886571,1.585255941769,724534819639.9742,211318714.25012624,38202.5940818235,18965592.18172837,256251
2022-02-23 00:00:00+00:00,btc,859810,1.548559725335,707608386323.9312,208538204.64136496,37308.2687344243,18966529.68169015,253563
2022-02-24 00:00:00+00:00,btc,958866,1.589005849792,726142231115.2037,183513620.1644798,38283.790402104,18967354.68166434,255800
2022-02-25 00:00:00+00:00,btc,936543,1.632120546767,745900830759.9186,186294129.77324113,39323.7702158387,18968192.18162065,260990
2022-02-26 00:00:00+00:00,btc,818914,1.621580052318,740863193300.3043,173781837.53479856,39056.5781523086,18968973.43159881,221994
2022-02-27 00:00:00+00:00,btc,768705,1.564733720961,714494212585.6721,189074637.38003567,37664.7792828755,18969823.43158243,206112
2022-02-28 00:00:00+00:00,btc,981066,1.785886675274,819144394069.7399,214099221.8569208,43179.2545140269,18970785.93155513,274389
2022-03-01 00:00:00+00:00,btc,1065354,1.831088158538,841104392825.5334,225221260.29196608,44334.457582408,18971798.43154967,275460
