time,btc_A_MVRV_Z,btc_B_AddrMomentum,btc_C_HashRibbon,btc_D_Ensemble,btc_Buy_and_Hold,eth_A_MVRV_Z,eth_B_AddrMomentum,eth_C_HashRibbon,eth_D_Ensemble,eth_Buy_and_Hold
2020-11-24 00:00:00+00:00,54462.0557060066,21763.507552181367,20867.22682673871,46208.140582450345,20207.55517472516,8848.007978223071,15396.54781334064,4590.768002857718,9047.441782271017,6561.572926431055
2020-11-25 00:00:00+00:00,53319.1998481309,21306.812486754567,20867.22682673871,45238.4885290782,19783.510901966758,8848.007978223071,14471.436716841039,4314.9288685019565,8503.820647898234,6167.316759508163
2020-11-26 00:00:00+00:00,48670.28631776862,19449.066512683323,20867.22682673871,41294.1341123766,18058.58195006601,8848.007978223071,13201.91717890728,3936.397931281135,7757.815488159821,5626.2834622606015
2020-11-27 00:00:00+00:00,48635.83531475729,19435.299594514374,20867.22682673871,41264.90427942745,18045.799278990682,8848.007978223071,13167.395949306603,3926.1047825706964,7737.52984888204,5611.571491221311
2020-11-28 00:00:00+00:00,50466.68710851749,20166.923774393254,20867.22682673871,42818.284077068325,18725.11698302427,8848.007978223071,13773.184514384693,4106.731946190316,8093.508139688277,5869.741432687913
2020-11-29 00:00:00+00:00,51733.63016873504,20673.20515694098,20867.22682673871,43893.21748304396,19195.202466590723,8848.007978223071,14640.184741251045,4365.24424051903,8602.98170304073,6239.232391621357
2020-11-30 00:00:00+00:00,55924.28317450357,22347.826269885056,20867.22682673871,47448.76236126389,20750.098820289244,8848.007978223071,15623.099410585288,4658.318588627722,9180.569832246963,6658.122805335218
2020-12-01 00:00:00+00:00,53524.57193701852,21388.880946153902,20867.22682673871,45412.73575922791,19859.711988461684,8848.007978223071,14980.879472616452,4466.82873143584,8803.183448582948,6384.42684381979
2020-12-02 00:00:00+00:00,54645.83409749174,21836.946983711543,20867.22682673871,46364.06671560262,20275.744153964297,8848.007978223071,15252.733764454535,4547.887160866913,8962.932627975903,6500.283449007172
2020-12-03 00:00:00+00:00,55372.285770085,22127.243342485133,21123.764677188734,46980.42209511217,20545.28616932529,8848.007978223071,15727.12558881643,4689.335934611563,9241.69852179404,6702.455818358445
2020-12-04 00:00:00+00:00,53275.32754867972,21289.28073720784,20323.803985828,45201.26523013298,19767.232561013414,8848.007978223071,14571.516621552648,4344.769559405473,8562.63039683877,6209.9679824444165
2020-12-05 00:00:00+00:00,54360.76068866627,21723.02918891896,20737.88178491147,46122.197179453746,20169.970756999915,8848.007978223071,15150.593740719065,4517.432207038261,8902.912295522823,6456.754261648237
2020-12-06 00:00:00+00:00,55048.08428141769,21997.6896292517,21000.08627274218,46705.35447654397,20424.994722646567,8848.007978223071,15337.29285518709,4573.100031491678,9012.621912862329,6536.320140294136
2020-12-07 00:00:00+00:00,54552.85053896185,21799.78995113059,20811.161418180873,46285.17514074912,20241.243612899925,8848.007978223071,15071.758736229389,4493.926079528122,8856.586643683686,6423.157013915448
2020-12-08 00:00:00+00:00,52160.53672130082,20843.800700212338,19898.526633189565,44255.42485367673,19353.6015134793,8848.007978223071,14116.714597114385,4209.1618500190225,8295.376016931681,6016.144231391963
2020-12-09 00:00:00+00:00,52825.217056132904,21109.412699234053,20152.093029867625,44819.37055782179,19600.22394382199,8848.007978223071,14623.389828624904,4360.236523956227,8593.112543014371,6232.074875188097
2020-12-10 00:00:00+00:00,52029.342658798996,20791.37442042825,19848.47790457396,44144.113710439844,19304.92337927679,8848.007978223071,14272.871143424958,4255.7228379060725,8387.13796764905,6082.693731901982
2020-12-11 00:00:00+00:00,51366.458756979184,20526.48029154424,19595.596822357496,43581.69218359772,19058.96749592251,8848.007978223071,13891.718355484309,4142.075022545683,8163.1619373823605,5920.257201031205
2020-12-12 00:00:00+00:00,53503.742902407954,21380.557484136636,20410.94129854155,45395.063437700475,19851.983601042717,8848.007978223071,14479.027526313792,4317.192209977317,8508.28121968469,6170.55174767109
2020-12-13 00:00:00+00:00,54478.63998667737,21770.13477388549,20782.85111418637,46222.211457351405,20213.708592225525,8848.007978223071,15038.71902194482,4484.074672251632,8837.171584209542,6409.07642277418
2020-12-14 00:00:00+00:00,54850.25345027325,21918.634721539303,20924.616534318535,46537.505600137054,20351.591738058676,8848.007978223071,14935.513594780334,4453.302048512079,8776.525190926755,6365.093190626746
